Policy Number,Policy Create Date,Policy Expiration Date,Annual Premium,Excess
59809526,2016-09-25,2019-09-25,1368.24,375
62204197,2016-07-19,2019-07-19,1807.87,1250
93993383,2015-04-30,2018-04-29,1722.95,1250
84995363,2015-02-12,2018-02-11,1381.14,250
70955713,2016-07-26,2019-07-26,1605.52,500
43274335,2019-07-04,2022-07-03,1096.3,725
23236772,2019-11-17,2022-11-16,1422.92,750
76501430,2019-06-02,2022-06-01,1851.83,850
56554321,2019-01-30,2022-01-29,1245.33,750
48123261,2019-01-24,2022-01-23,1667.25,1000
93915490,2016-12-15,2019-12-15,1098.46,750
38560159,2019-08-13,2022-08-12,1332.58,250
31544108,2016-07-04,2019-07-04,1287.88,250
68615145,2017-01-01,2020-01-01,1592.99,250
55535104,2018-02-06,2021-02-05,773.99,500
17988651,2019-11-25,2022-11-24,1524.24,500
4884021,2015-06-07,2018-06-06,1257.04,500
33812338,2018-11-23,2021-11-22,1117.17,375
81854232,2016-07-15,2019-07-15,1698.0,750
24579120,2015-12-27,2018-12-26,1339.39,850
29479035,2015-05-24,2018-05-23,1066.7,250
10462101,2019-02-22,2022-02-21,1465.43,375
52265171,2018-06-21,2021-06-20,1009.37,375
53900739,2018-08-07,2021-08-06,1238.65,1000
69784838,2016-07-24,2019-07-24,1057.28,250
26810827,2015-09-19,2018-09-18,1503.21,250
82637378,2019-04-25,2022-04-24,1336.12,850
69546124,2015-11-13,2018-11-12,1117.42,250
67427551,2017-07-15,2020-07-14,1549.26,1100
18213275,2017-07-31,2020-07-30,1551.2,375
98204453,2017-07-21,2020-07-20,1488.55,1000
63413427,2015-08-23,2018-08-22,915.41,725
91136913,2019-05-26,2022-05-25,1754.77,375
11187739,2018-10-22,2021-10-21,1429.96,850
88205134,2018-04-24,2021-04-23,1118.58,500
40728182,2016-03-27,2019-03-27,1364.6,250
65176151,2018-11-13,2021-11-12,1137.16,375
84229836,2018-02-09,2021-02-08,1101.51,850
76094019,2018-04-15,2021-04-14,1143.06,500
36994403,2018-05-26,2021-05-25,964.92,850
68043359,2016-10-25,2019-10-25,817.14,500
28901728,2017-02-02,2020-02-02,1561.3,500
86916158,2017-07-24,2020-07-23,1725.74,750
29826953,2016-04-12,2019-04-12,1151.85,750
79637526,2017-09-26,2020-09-25,1511.45,1250
36632286,2018-06-07,2021-06-06,1333.35,1250
77510881,2016-03-10,2019-03-10,1479.96,375
2651128,2017-12-20,2020-12-19,849.0,250
8150797,2017-03-09,2020-03-08,1589.9,250
67268167,2017-02-24,2020-02-24,1149.4299999999998,375
53907927,2019-01-15,2022-01-14,1100.13,725
86246792,2018-01-09,2021-01-08,1380.89,850
45568548,2019-09-07,2022-09-06,1339.38,375
28033044,2018-01-01,2020-12-31,1240.47,850
33210241,2019-08-01,2022-07-31,1292.97,250
24731843,2019-01-14,2022-01-13,1597.14,850
36126483,2019-12-01,2022-11-30,1111.23,725
95452557,2019-05-29,2022-05-28,952.91,500
22757001,2017-08-19,2020-08-18,1104.1799999999998,850
62489375,2019-05-29,2022-05-28,1579.58,1000
4825520,2016-03-28,2019-03-28,1538.02,850
63915318,2018-06-30,2021-06-29,1352.83,1100
6723783,2019-12-26,2022-12-25,1727.68,500
51719395,2015-11-20,2018-11-19,1381.14,1000
89808990,2018-03-22,2021-03-21,1503.21,750
55105688,2015-06-02,2018-06-01,1148.58,850
79076561,2016-01-31,2019-01-30,1456.91,1250
81131125,2018-06-28,2021-06-27,1124.38,375
75995114,2019-06-26,2022-06-25,1623.34,1250
24425488,2019-03-31,2022-03-30,1559.29,250
51382407,2018-01-31,2021-01-30,782.23,375
18842888,2016-01-16,2019-01-15,1317.4,1250
98180405,2016-09-01,2019-09-01,1022.47,850
53013153,2019-07-23,2022-07-22,1559.29,1100
25263692,2018-02-04,2021-02-03,1134.08,1000
16444797,2016-09-23,2019-09-23,1453.9,1250
64232052,2019-08-06,2022-08-05,1423.06,750
89530978,2016-06-27,2019-06-27,1266.68,250
38011137,2016-04-04,2019-04-04,992.51,250
76314552,2018-05-10,2021-05-09,1114.23,1100
51975699,2018-10-09,2021-10-08,1192.27,375
47593701,2015-04-08,2018-04-07,1441.6,850
42439068,2019-04-04,2022-04-03,1324.31,500
51613953,2016-06-01,2019-06-01,1164.68,850
49078857,2017-04-09,2020-04-08,1398.25,1100
17822831,2015-01-07,2018-01-06,1601.47,1000
94643348,2018-05-09,2021-05-08,1474.17,375
47535303,2017-02-28,2020-02-28,1814.66,850
70770263,2016-04-06,2019-04-06,1437.35,500
92171103,2015-10-27,2018-10-26,1279.13,1100
98218218,2019-10-29,2022-10-28,1391.36,750
24112651,2018-06-05,2021-06-04,1234.2,500
97053878,2016-06-13,2019-06-13,1297.87,500
88484916,2015-07-28,2018-07-27,1322.1,500
89965600,2019-03-26,2022-03-25,983.0,500
96431769,2019-08-04,2022-08-03,1469.09,500
13059084,2019-09-06,2022-09-05,1550.9,750
49481975,2015-05-05,2018-05-04,949.44,725
10956267,2018-12-19,2021-12-18,1279.13,1100
43059339,2017-07-05,2020-07-04,1402.48,1000
92971254,2017-12-05,2020-12-04,2149.0,750
97578983,2019-01-18,2022-01-17,1315.4,750
81790098,2016-09-25,2019-09-25,1335.01,1250
36812382,2019-07-04,2022-07-03,977.15,500
63544284,2017-11-03,2020-11-02,1774.82,250
4670000,2018-12-30,2021-12-29,1648.0,750
64395418,2016-10-31,2019-10-31,1514.03,250
25634858,2015-08-14,2018-08-13,1390.89,375
31654375,2018-10-25,2021-10-24,1203.24,850
49499768,2017-10-04,2020-10-03,1689.06,500
45415401,2015-09-08,2018-09-07,1163.83,750
72734156,2016-06-19,2019-06-19,928.19,725
94707368,2016-06-16,2019-06-16,979.7,725
84750240,2018-05-09,2021-05-08,1104.5,1100
58380808,2016-05-13,2019-05-13,1265.36,1100
42345901,2017-11-26,2020-11-25,1435.09,500
54103983,2017-07-17,2020-07-16,1456.78,250
48099347,2018-10-11,2021-10-10,1615.14,850
57896300,2016-11-12,2019-11-12,1087.32,1000
70730436,2016-03-15,2019-03-15,1078.44,850
6125485,2018-04-01,2021-03-31,1398.94,500
48227068,2017-07-30,2020-07-29,1658.9,1000
86308243,2015-11-09,2018-11-08,1078.65,750
69065252,2015-08-18,2018-08-17,855.14,725
79846697,2018-06-01,2021-05-31,1443.32,1100
38047976,2018-03-09,2021-03-08,1594.45,250
73611317,2018-12-01,2021-11-30,1347.31,250
14696538,2017-07-11,2020-07-10,1392.02,375
25166096,2016-08-10,2019-08-10,1056.77,750
1123415,2018-06-20,2021-06-19,1097.71,250
97162743,2015-02-05,2018-02-04,1489.24,750
95055528,2015-11-22,2018-11-21,1497.41,1250
56985238,2018-07-04,2021-07-03,1346.27,1000
69039379,2016-08-03,2019-08-03,1570.78,750
84514503,2018-11-07,2021-11-06,1448.54,1250
79953322,2016-06-03,2019-06-03,1381.94,1000
15557455,2018-07-21,2021-07-20,828.42,375
95002978,2017-04-03,2020-04-02,1705.52,1250
7612153,2016-06-12,2019-06-12,1376.98,1000
53260560,2018-11-23,2021-11-22,525.0,500
92072215,2016-09-14,2019-09-14,1040.98,500
77570882,2017-04-06,2020-04-05,1353.81,250
69010160,2016-12-13,2019-12-13,1206.19,850
1223114,2018-06-25,2021-06-24,986.53,850
9884851,2015-05-18,2018-05-17,986.53,725
1144657,2015-02-09,2018-02-08,1358.91,850
59716579,2017-07-23,2020-07-22,1676.11,1100
59056611,2016-01-22,2019-01-21,1625.86,1250
25165058,2018-05-08,2021-05-07,1443.32,250
70761838,2015-05-29,2018-05-28,1192.27,250
62934161,2018-05-20,2021-05-19,1363.77,1100
11472266,2019-03-12,2022-03-11,1482.91,850
97856753,2016-11-14,2019-11-14,1514.42,850
86818499,2017-06-11,2020-06-10,1701.61,1250
66433197,2018-12-16,2021-12-15,1377.23,500
87806670,2019-04-21,2022-04-20,1658.66,250
36252180,2017-11-15,2020-11-14,941.47,500
19916071,2018-08-24,2021-08-23,1086.21,850
79440367,2018-07-06,2021-07-05,1447.77,250
23116496,2017-03-16,2020-03-15,1522.18,850
58957772,2015-03-22,2018-03-21,999.52,725
4798080,2019-11-03,2022-11-02,1387.17,250
83441856,2015-07-30,2018-07-29,1030.95,250
30154590,2017-04-12,2020-04-11,1862.68,1100
38117697,2015-06-16,2018-06-15,1454.42,250
12112770,2015-12-23,2018-12-22,840.95,725
4652661,2017-09-06,2020-09-05,1317.3,250
45187339,2017-08-01,2020-07-31,1232.49,750
77930082,2019-07-05,2022-07-04,1538.83,850
58934676,2018-08-19,2021-08-18,1829.63,500
41183019,2017-12-27,2020-12-26,1123.8,750
64488677,2015-04-25,2018-04-24,1255.02,250
59793085,2019-06-29,2022-06-28,1773.54,1100
86621131,2017-03-26,2020-03-25,1675.86,375
47250517,2017-06-10,2020-06-09,1480.46,850
35163851,2018-12-31,2021-12-30,1247.87,1100
93872011,2015-03-17,2018-03-16,1474.66,850
32464695,2019-08-11,2022-08-10,1166.7,850
7583217,2018-09-29,2021-09-28,1142.48,250
80670671,2018-12-11,2021-12-10,1096.39,750
21840260,2016-01-30,2019-01-29,1129.92,850
29130462,2017-03-22,2020-03-21,1539.86,1000
89806774,2017-05-13,2020-05-12,1311.91,750
56016198,2018-11-14,2021-11-13,1325.44,850
20028300,2016-10-17,2019-10-17,1368.06,250
98341713,2017-08-25,2020-08-24,1454.83,1000
44643976,2016-02-05,2019-02-04,1977.87,750
76185937,2017-09-10,2020-09-09,1350.09,850
18665228,2016-05-22,2019-05-22,1402.31,250
17177212,2018-08-06,2021-08-05,1368.57,850
84736798,2016-05-08,2019-05-08,1184.08,1000
20110658,2018-12-03,2021-12-02,1677.26,250
15635686,2018-05-01,2021-04-30,1479.48,1100
3374171,2019-02-24,2022-02-23,1778.37,1100
78415774,2018-10-27,2021-10-26,1390.89,1250
83080096,2017-10-25,2020-10-24,1372.48,1100
74018014,2016-05-27,2019-05-27,1493.32,375
33372850,2015-11-23,2018-11-22,1479.48,250
48874163,2015-11-10,2018-11-09,1166.62,500
61822203,2018-02-19,2021-02-18,1253.44,1100
95418379,2019-10-16,2022-10-15,1460.43,250
26450680,2018-05-12,2021-05-11,1422.36,1100
64622579,2015-09-15,2018-09-14,1028.44,750
32521750,2016-10-15,2019-10-15,856.31,725
39444662,2017-02-25,2020-02-25,1521.88,1250
48960425,2017-08-14,2020-08-13,1772.67,500
80701359,2018-06-26,2021-06-25,1382.88,500
13275955,2016-01-13,2019-01-12,1422.18,500
62817057,2016-12-03,2019-12-03,1075.54,750
85700625,2016-08-24,2019-08-24,1574.45,500
81138968,2016-09-30,2019-09-30,1587.07,375
31115087,2015-07-13,2018-07-12,1075.41,500
59843904,2017-12-26,2020-12-25,1403.44,250
75471294,2018-08-17,2021-08-16,977.4,850
37365304,2019-07-17,2022-07-16,1571.35,1250
30886351,2016-04-08,2019-04-08,1325.81,750
20094399,2015-07-29,2018-07-28,1173.37,850
40948953,2015-11-23,2018-11-22,978.46,725
59903336,2018-08-07,2021-08-06,870.63,725
4412114,2015-08-27,2018-08-26,1407.01,1000
63302750,2017-12-10,2020-12-09,1291.62,850
69473217,2019-11-08,2022-11-07,1393.41,250
30943566,2016-09-08,2019-09-08,1539.24,250
88072291,2017-12-20,2020-12-19,1260.37,850
17859059,2016-07-18,2019-07-18,1216.54,250
44758317,2015-04-18,2018-04-17,1464.03,1100
59389434,2018-11-01,2021-10-31,1346.27,375
56357676,2015-06-30,2018-06-29,664.86,500
82034495,2018-06-25,2021-06-24,1390.89,250
85532878,2018-03-19,2021-03-18,1377.23,1000
23742021,2019-05-04,2022-05-03,1353.62,250
96543907,2015-04-12,2018-04-11,1395.58,500
91135976,2017-01-30,2020-01-30,1160.77,750
524604,2019-04-12,2022-04-11,1769.54,500
89479946,2016-03-11,2019-03-11,1266.24,500
73495222,2015-04-29,2018-04-28,1198.44,850
49889716,2019-05-13,2022-05-12,1237.04,250
96931112,2018-02-08,2021-02-07,1102.29,375
1301031,2017-06-29,2020-06-28,1158.38,1000
83887567,2019-12-09,2022-12-08,1590.52,500
53897666,2017-09-20,2020-09-19,1132.7,850
92392876,2017-10-12,2020-10-11,1556.52,500
75086973,2016-11-18,2019-11-18,1423.21,1100
27869002,2016-08-18,2019-08-18,1486.79,750
42238361,2015-01-29,2018-01-28,1255.35,750
83882508,2019-06-26,2022-06-25,954.76,500
53191150,2017-08-08,2020-08-07,864.03,500
55836101,2019-07-20,2022-07-19,1179.7,725
19796958,2016-02-27,2019-02-26,1350.68,1250
42014162,2015-03-29,2018-03-28,1586.41,750
66632455,2019-11-25,2022-11-24,1195.92,750
34778916,2015-09-02,2018-09-01,1489.24,250
28437927,2019-12-12,2022-12-11,2080.91,250
85641731,2019-08-30,2022-08-29,1436.08,1000
86985298,2018-08-24,2021-08-23,1595.07,1000
19409530,2019-11-14,2022-11-13,1464.88,500
98537568,2015-12-03,2018-12-02,694.45,500
36871101,2015-04-07,2018-04-06,1019.44,500
62206239,2018-08-11,2021-08-10,1533.07,1000
6448688,2017-06-23,2020-06-22,1488.54,750
30197190,2019-01-25,2022-01-24,1547.77,1250
7988457,2017-05-09,2020-05-08,1213.67,750
13687144,2015-08-05,2018-08-04,1246.03,750
30864974,2019-02-24,2022-02-23,1693.04,1100
44665944,2018-11-23,2021-11-22,1081.17,250
14604208,2018-09-08,2021-09-07,1298.91,1100
9600879,2019-12-22,2022-12-21,1357.37,750
54275173,2019-02-03,2022-02-02,1001.28,250
24066045,2015-04-17,2018-04-16,1030.95,375
52209031,2016-11-04,2019-11-04,1609.34,1000
13435820,2016-12-29,2019-12-29,1705.79,750
64916435,2017-05-08,2020-05-07,1466.63,750
35895210,2019-04-30,2022-04-29,1453.64,375
8201683,2015-12-29,2018-12-28,1236.5,500
55933986,2016-11-20,2019-11-20,1514.42,850
65899424,2016-05-29,2019-05-29,954.7,375
57025435,2017-01-23,2020-01-23,1700.53,850
92189142,2019-06-10,2022-06-09,1242.21,750
83836811,2019-04-18,2022-04-17,1415.01,1100
43806688,2017-10-01,2020-09-30,1592.99,1100
7304030,2015-06-12,2018-06-11,1515.18,1000
35189287,2018-07-29,2021-07-28,1463.95,1100
47879192,2017-06-06,2020-06-05,1894.64,750
25550499,2018-06-14,2021-06-13,765.64,750
38718312,2016-10-19,2019-10-19,1124.99,1000
44632360,2018-07-28,2021-07-27,854.58,250
46691464,2016-03-30,2019-03-30,1096.58,500
96395932,2019-05-18,2022-05-17,2020.02,500
25582727,2015-03-06,2018-03-05,1358.91,750
21969867,2019-03-21,2022-03-20,1551.68,500
56525162,2017-01-29,2020-01-29,1552.75,1250
59510218,2017-02-06,2020-02-06,1021.46,850
76666522,2018-06-16,2021-06-15,1396.89,250
10330172,2017-11-12,2020-11-11,1738.26,750
85250448,2019-03-19,2022-03-18,1425.04,750
17330478,2019-01-22,2022-01-21,1319.43,500
62935914,2015-03-02,2018-03-01,1352.83,250
27304553,2018-01-03,2021-01-02,1255.68,750
15821007,2017-06-06,2020-06-05,1483.35,250
25989667,2019-01-05,2022-01-04,1760.41,1000
64214138,2018-02-24,2021-02-23,1264.77,1000
58468201,2017-09-14,2020-09-13,1803.32,750
12108848,2015-12-18,2018-12-17,770.76,250
25365423,2018-02-20,2021-02-19,1537.07,250
76339740,2017-02-19,2020-02-19,1414.77,750
97514783,2017-08-10,2020-08-09,1650.04,375
14502022,2015-10-03,2018-10-02,1137.03,500
41673598,2018-12-16,2021-12-15,1367.68,1250
47730390,2016-11-12,2019-11-12,1271.22,500
91180887,2015-06-30,2018-06-29,1234.69,250
86237731,2019-06-24,2022-06-23,1559.29,1000
47437941,2018-08-14,2021-08-13,977.4,725
87092270,2018-03-14,2021-03-13,1011.92,500
49820705,2016-08-06,2019-08-06,1727.26,1100
77542072,2015-06-25,2018-06-24,1366.42,1100
40950514,2015-10-26,2018-10-25,1836.02,850
97115688,2018-12-05,2021-12-04,845.16,725
30831338,2018-10-10,2021-10-09,1209.63,1100
28866412,2019-07-23,2022-07-22,1635.01,250
23142095,2015-12-21,2018-12-20,999.43,250
89986863,2019-12-20,2022-12-19,1396.12,750
44467741,2015-04-24,2018-04-23,1061.98,1000
45812714,2016-09-10,2019-09-10,1193.95,850
49531211,2018-06-02,2021-06-01,1612.43,250
5152562,2018-06-20,2021-06-19,806.31,750
41093194,2015-02-27,2018-02-26,1539.06,750
61806159,2019-08-20,2022-08-19,1274.65,750
81909759,2017-03-01,2020-02-29,1448.85,375
7891817,2017-09-03,2020-09-02,1211.98,500
95560228,2016-10-06,2019-10-06,1156.77,750
48477625,2015-01-08,2018-01-07,1331.69,750
38183297,2019-05-18,2022-05-17,1434.08,500
48335990,2019-05-29,2022-05-28,1298.29,850
74888158,2015-03-13,2018-03-12,935.77,725
9775202,2015-09-22,2018-09-21,1575.74,1100
39959550,2019-07-13,2022-07-12,1358.14,1000
69355086,2016-05-27,2019-05-27,1487.53,250
95639233,2019-06-19,2022-06-18,2013.63,850
82028833,2018-12-17,2021-12-16,1439.9,500
48673683,2018-10-08,2021-10-07,1389.13,500
41009453,2019-10-22,2022-10-21,1740.17,1100
42726789,2019-09-28,2022-09-27,1600.24,1100
18062398,2018-05-11,2021-05-10,1453.61,1100
6540340,2016-11-18,2019-11-18,1513.82,1250
61582125,2019-08-29,2022-08-28,977.15,500
49058550,2016-04-12,2019-04-12,1189.0,500
3124432,2017-02-19,2020-02-19,1339.98,1100
5345527,2016-11-08,2019-11-08,1340.74,500
84147644,2015-07-22,2018-07-21,1275.81,850
85357815,2017-03-02,2020-03-01,1066.13,725
53539254,2015-09-03,2018-09-02,1093.83,1000
47153199,2015-11-25,2018-11-24,912.3,375
34369717,2018-04-02,2021-04-01,1240.47,750
14478044,2019-06-09,2022-06-08,1552.57,850
66521376,2016-04-22,2019-04-22,1396.27,250
9081145,2017-06-18,2020-06-17,1534.64,1100
47237630,2019-04-01,2022-03-31,1684.04,500
36009152,2016-12-23,2019-12-23,1446.83,1100
60016649,2016-07-31,2019-07-31,1174.47,375
96861706,2017-09-24,2020-09-23,1529.93,500
70659820,2018-02-26,2021-02-25,1672.88,850
91010099,2015-07-17,2018-07-16,1086.48,500
69050963,2015-09-11,2018-09-10,1300.68,1250
69128678,2017-09-12,2020-09-11,1480.39,250
76933591,2019-07-06,2022-07-05,1568.51,500
25174825,2015-03-12,2018-03-11,1055.53,750
38923785,2018-08-23,2021-08-22,1454.42,1000
53225972,2016-09-10,2019-09-10,1446.43,850
83086776,2015-05-26,2018-05-25,1101.51,850
40460184,2016-06-28,2019-06-28,1514.73,1250
88200281,2015-08-25,2018-08-24,982.22,375
88878432,2017-09-05,2020-09-04,1274.69,250
97545378,2015-01-16,2018-01-15,1177.57,850
64610670,2019-07-27,2022-07-26,1538.2,500
24310758,2015-04-04,2018-04-03,1238.89,250
42570036,2015-11-12,2018-11-11,1097.64,750
34803101,2019-06-09,2022-06-08,1352.2,750
25512335,2018-09-23,2021-09-22,990.11,375
9205072,2016-07-11,2019-07-11,1977.87,1100
29517647,2016-10-09,2019-10-09,1324.63,850
71462929,2016-08-18,2019-08-18,1071.1399999999999,1000
53886595,2019-02-02,2022-02-01,1326.62,850
89279796,2017-02-04,2020-02-04,1104.1599999999999,725
5027632,2019-03-07,2022-03-06,1387.24,375
69204833,2019-08-24,2022-08-23,1547.59,375
9466652,2018-06-10,2021-06-09,1143.06,500
30679848,2018-11-22,2021-11-21,1252.08,850
15000966,2018-04-21,2021-04-20,1447.78,1000
96795423,2016-07-10,2019-07-10,1448.46,1100
33152491,2016-03-18,2019-03-18,1225.51,1100
42867151,2015-04-16,2018-04-15,1322.78,250
47145753,2017-09-11,2020-09-10,1079.7,375
72833794,2017-05-27,2020-05-26,1506.64,250
3771642,2017-12-28,2020-12-27,1220.63,750
8610034,2016-07-16,2019-07-16,1029.26,250
29235994,2019-08-10,2022-08-09,952.91,500
35459487,2016-09-25,2019-09-25,1915.83,250
2917473,2016-03-27,2019-03-27,1645.28,1250
55982289,2016-11-09,2019-11-09,1223.37,500
69872920,2015-05-14,2018-05-13,708.64,500
44866524,2019-08-31,2022-08-30,1029.1599999999999,725
39554097,2018-12-06,2021-12-05,1421.59,250
14712404,2015-03-11,2018-03-10,823.17,250
41660539,2019-06-21,2022-06-20,966.23,500
53981734,2019-06-21,2022-06-20,1578.43,250
287535,2017-07-25,2020-07-24,1621.44,375
58378927,2019-08-08,2022-08-07,1162.46,750
62960599,2018-04-04,2021-04-03,1800.76,850
36780393,2015-12-22,2018-12-21,1082.72,750
17814461,2016-10-19,2019-10-19,1661.83,500
4420571,2019-05-20,2022-05-19,1551.68,375
51485767,2018-10-04,2021-10-03,1175.7,1000
71496858,2018-10-03,2021-10-02,1270.29,1250
85983350,2019-03-03,2022-03-02,1921.66,1000
29500873,2017-08-04,2020-08-03,1273.87,750
74351443,2017-11-28,2020-11-27,1033.31,850
72363283,2016-11-02,2019-11-02,1344.41,1000
41106122,2018-05-30,2021-05-29,2999.0,500
57043905,2017-01-15,2020-01-15,1340.6,375
31740505,2015-01-26,2018-01-25,785.82,500
17690769,2017-06-27,2020-06-26,1065.29,725
50771257,2017-12-16,2020-12-15,1728.54,1000
23460954,2015-10-15,2018-10-14,1312.75,1100
33628876,2017-08-30,2020-08-29,1682.47,750
32791460,2018-06-07,2021-06-06,1388.62,850
86491786,2017-05-07,2020-05-06,1247.64,750
99674383,2015-11-02,2018-11-01,1518.54,500
81371197,2018-03-11,2021-03-10,1017.18,750
30200047,2017-03-31,2020-03-30,1213.67,250
20299750,2016-07-26,2019-07-26,1396.18,250
40591647,2016-08-29,2019-08-29,1483.24,1100
28871798,2019-06-26,2022-06-25,1379.01,750
46995528,2019-09-03,2022-09-02,1290.77,750
8774746,2016-01-26,2019-01-25,1570.78,1250
42083510,2016-02-10,2019-02-09,1285.1,250
50561046,2016-12-06,2019-12-06,1327.25,750
88881307,2016-04-16,2019-04-16,1173.84,375
30060742,2019-11-28,2022-11-27,1526.72,1000
28999779,2015-12-06,2018-12-05,1371.78,750
40971490,2015-12-22,2018-12-21,1479.48,375
46866792,2016-07-24,2019-07-24,1288.92,250
6563712,2017-08-29,2020-08-28,1333.48,500
9959918,2018-07-18,2021-07-17,1722.95,850
71404850,2016-07-18,2019-07-18,1153.58,1100
73491649,2017-02-13,2020-02-13,1097.75,725
11429103,2015-11-10,2018-11-09,1007.0,850
45634995,2017-10-09,2020-10-08,1613.82,375
71108635,2019-07-25,2022-07-24,1320.83,250
9017187,2019-08-07,2022-08-06,990.31,725
72587330,2017-10-15,2020-10-14,1491.24,750
12673641,2017-12-19,2020-12-18,1053.3200000000002,850
44821567,2017-10-01,2020-09-30,1294.3,1000
85683788,2017-05-10,2020-05-09,1341.5,750
90115953,2015-07-18,2018-07-17,1317.97,375
45566335,2016-06-09,2019-06-09,1288.89,1000
12827804,2018-07-30,2021-07-29,895.83,250
28590611,2017-06-24,2020-06-23,1515.46,1250
15965500,2018-05-17,2021-05-16,964.92,725
12779367,2017-03-17,2020-03-16,1553.9,375
53719235,2016-02-16,2019-02-15,1320.21,500
51842419,2016-07-13,2019-07-13,1167.42,375
56398323,2018-04-07,2021-04-06,1865.83,1250
73898116,2015-02-27,2018-02-26,1337.56,1000
2476972,2016-08-03,2019-08-03,1269.27,250
66267109,2016-08-29,2019-08-29,1357.11,375
46551153,2016-10-24,2019-10-24,1001.27,725
5061237,2015-12-01,2018-11-30,1168.2,750
29324029,2016-02-07,2019-02-06,1131.08,500
67243681,2017-02-20,2020-02-20,1347.71,750
62861546,2018-04-30,2021-04-29,1122.95,750
98083492,2016-10-24,2019-10-24,1404.83,1000
15681083,2019-10-25,2022-10-24,2013.63,750
92644562,2018-05-17,2021-05-16,1201.41,250
65916319,2017-11-29,2020-11-28,1632.14,500
34953262,2017-03-30,2020-03-29,1431.25,250
99962052,2016-03-29,2019-03-29,1574.18,250
42098426,2016-04-12,2019-04-12,1243.4,375
9130097,2017-10-15,2020-10-14,1843.63,1000
80562450,2016-10-30,2019-10-30,1418.57,750
28932399,2018-04-01,2021-03-31,1009.37,750
79213001,2017-04-12,2020-04-11,1645.1,1250
5864828,2015-04-07,2018-04-06,1361.16,500
3955324,2019-10-02,2022-10-01,1356.82,250
42882344,2019-02-28,2022-02-27,1586.78,1100
96134564,2017-10-26,2020-10-25,1286.83,750
8375425,2016-01-25,2019-01-24,1317.81,1100
82000078,2016-03-01,2019-03-01,1487.88,375
30394088,2016-09-11,2019-09-11,1181.4,850
51525395,2018-12-14,2021-12-13,1040.75,1000
54963093,2019-08-01,2022-07-31,1432.25,1000
90876937,2018-07-19,2021-07-18,1581.27,250
16216144,2017-06-18,2020-06-17,952.24,725
11982441,2017-12-31,2020-12-30,1205.09,1000
33290865,2016-02-04,2019-02-03,1392.8,500
39628406,2015-07-09,2018-07-08,1269.64,850
84278006,2015-05-20,2018-05-19,1301.13,375
95856523,2017-02-24,2020-02-24,1613.82,750
67335068,2015-05-06,2018-05-05,1053.24,750
8765269,2015-09-29,2018-09-28,1064.49,500
77765270,2017-11-26,2020-11-25,1368.56,750
39035475,2017-10-19,2020-10-18,1168.73,250
5264538,2019-12-23,2022-12-22,1267.01,250
24769770,2016-05-10,2019-05-10,1472.21,250
98142407,2015-08-01,2018-07-31,1218.56,750
22328142,2016-07-16,2019-07-16,1498.84,850
85985020,2016-02-22,2019-02-21,1320.55,250
46937435,2016-05-01,2019-05-01,1018.74,850
54252874,2018-07-13,2021-07-12,1493.5,250
17774886,2019-05-29,2022-05-28,1590.91,850
80544977,2019-11-27,2022-11-26,1765.27,250
18818342,2019-04-03,2022-04-02,1504.75,1100
22371038,2016-04-24,2019-04-24,1228.95,500
88623127,2018-03-27,2021-03-26,1344.36,250
89044660,2018-08-07,2021-08-06,1459.5,750
73876296,2016-05-20,2019-05-20,1084.27,750
47585772,2017-02-10,2020-02-10,2028.44,1250
16981116,2019-01-09,2022-01-08,1597.14,375
32301941,2015-03-23,2018-03-22,1475.73,375
16717144,2018-02-05,2021-02-04,1421.59,750
75192619,2015-01-10,2018-01-09,1314.6,1000
24715488,2017-03-10,2020-03-09,1894.64,1250
2121861,2016-11-24,2019-11-24,759.14,500
30966583,2016-01-24,2019-01-23,1281.98,850
63238792,2017-10-12,2020-10-11,1468.24,1250
39608410,2015-01-19,2018-01-18,1480.79,850
16453553,2017-12-15,2020-12-14,1496.18,1250
92789409,2017-01-07,2020-01-07,1645.06,1100
83706800,2016-02-14,2019-02-13,979.7,725
92400636,2018-10-24,2021-10-23,889.13,725
90646494,2015-04-09,2018-04-08,1142.48,1000
56229280,2018-09-27,2021-09-26,1207.36,850
63788548,2019-02-25,2022-02-24,1488.35,850
49187808,2017-04-11,2020-04-10,1114.79,725
58144349,2015-10-27,2018-10-26,1230.69,1000
21330566,2019-01-02,2022-01-01,1172.29,375
21066157,2015-06-13,2018-06-12,1173.25,1000
46673720,2019-06-11,2022-06-10,1301.04,850
48477223,2018-01-26,2021-01-25,1388.58,1000
42351578,2018-04-09,2021-04-08,1300.68,750
25879304,2018-08-08,2021-08-07,1472.77,250
86301252,2016-07-09,2019-07-09,1161.72,1100
12996193,2018-02-09,2021-02-08,1239.06,750
44003555,2017-06-17,2020-06-16,1502.31,1250
89737770,2015-01-14,2018-01-13,1603.42,1250
32560838,2017-09-25,2020-09-24,1676.61,1000
8039096,2019-08-31,2022-08-30,1410.78,750
68723658,2017-06-01,2020-05-31,1566.08,750
46130000,2016-04-25,2019-04-25,1098.46,1000
58098558,2017-10-16,2020-10-15,1327.57,250
12377985,2015-09-20,2018-09-19,1326.44,1250
20444162,2017-05-08,2020-05-07,1384.2,750
89456366,2015-12-10,2018-12-09,1334.15,1250
15167054,2018-03-30,2021-03-29,1969.63,1000
38384816,2019-07-20,2022-07-19,1582.94,375
